title,year,rating
A House of Dynamite,2025,6.4
Weapons,2025,7.5
Bugonia,2025,7.7
One Battle After Another,2025,8.2
Ballad of a Small Player,2025,5.8
Frankenstein,2025,7.7
The Long Walk,2025,6.8
Regretting You,2025,6.2
Jurassic World: Rebirth,2025,5.9
The Woman in Cabin 10,2025,5.8
It,2017,7.3
Springsteen: Deliver Me from Nowhere,2025,6.9
Black Phone 2,2025,6.3
Gekij么-ban Chens么 Man Reze-hen,2025,8.6
Sinners,2025,7.6
Predator: Badlands,2025,7.6
Tron: Ares,2025,6.6
Dracula: A Love Tale,2025,6.2
Kantara: A Legend - Chapter 1,2025,8.4
Scream 7,2026,
The Running Man,2025,
Eden,2024,6.5
Hocus Pocus,1993,6.9
KPop Demon Hunters,2025,7.6
Good Boy,2025,6.2
Bring Her Back,2025,7.1
The Substance,2024,7.2
Scream,1996,7.4
Lokah Chapter 1: Chandra,2025,7.8
Superman,2025,7.1
The Rats: A Witcher Tale,2025,4.6
The Conjuring: Last Rites,2025,6.2
Halloween,1978,7.7
The Hand That Rocks the Cradle,2025,5.3
Good Fortune,2025,6.7
The Black Phone,2021,6.9
Abadi Nan Jaya,2025,5.3
Hedda,2025,5.7
The Roses,2025,6.8
Nuremberg,2025,7.7
Tim Burton's the Nightmare Before Christmas,1993,7.9
Idly Kadai,2025,6.6
Roofman,2025,7.2
It: Chapter Two,2019,6.5
The Perfect Neighbor,2025,7.1
Die My Love,2025,6.6
The Shawshank Redemption,1994,9.3
Shelby Oaks,2024,5.8
28 Years Later,2025,6.6
The Lost Bus,2025,6.9
Dead of Winter,2025,6.1
I Know What You Did Last Summer,2025,5.1
F1,2025,7.7
Anniversary,2025,6.9
Play Dirty,2025,5.9
The Shining,1980,8.4
Nosferatu,2024,7.1
Back to the Future,1985,8.5
The Naked Gun,2025,6.4
Caught Stealing,2025,7.0
Gekij么-ban Kimetsu no Yaiba Mugen J么-hen,2025,8.5
Companion,2025,6.9
Wicked: Part I,2024,7.4
Bone Lake,2024,5.7
Mission: Impossible - The Final Reckoning,2025,7.2
The Fantastic Four: First Steps,2025,7.0
Culpa nuestra,2025,5.3
Don't Say a Word,2001,6.3
The Thursday Murder Club,2025,6.5
The Silence of the Lambs,1991,8.6
Hereditary,2018,7.3
Thamma,2025,6.4
How to Train Your Dragon,2025,7.8
Coco,2017,8.4
Heretic,2024,7.0
Barbarian,2022,7.0
Now You See Me: Now You Don't,2025,
Casper,1995,6.2
Monster,2003,7.3
Zootopia 2,2025,
Harry Potter and the Sorcerer's Stone,2001,7.7
Together,2025,6.7
The Godfather,1972,9.2
Aileen: Queen of the Serial Killers,2025,6.1
Interstellar,2014,8.7
"Sorry, Baby",2025,7.1
The Conjuring,2013,7.5
The Sixth Sense,1999,8.2
Trap,2024,5.8
The Age of Disclosure,2025,7.2
Anemone,2025,5.6
Scary Movie,2000,6.3
Wicked: For Good,2025,
Inception,2010,8.8
The Rocky Horror Picture Show,1975,7.4
Vicious,2025,4.9
Ballerina,2025,6.9
Halloween,2018,6.5
The Lord of the Rings: The Fellowship of the Ring,2001,8.9
Doctor Sleep,2019,7.3
